,title,area,height,dic,year,cost,price,chamber,hall,layers,addr_district,addr_detail,price_cor,height_state,中,低,高,东北向,东南向,东向,东西向,北向,南北向,南向,西北向,西南向,西向,万家湾,光华,八宝街,内光华,内金沙,外光华,外金沙,天府广场,府南新区,杜甫草堂,浣花小区,石人小区,苏坡,草市街,西南财大,贝森,长顺街,顺城街,骡马市
904,金林大城小室,78.0,中,西向,2009,159.5,20448,2,2,18,府南新区,清江中路10号,20448.717948717946,9.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1267,冠城花园三期,78.0,中,西南向,2008,180.0,23076,2,1,20,天府广场,小南街123号,23076.923076923074,10.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
289,中铁瑞景颐城,78.0,低,东向,2013,180.0,23076,3,2,21,万家湾,培风村10组成飞大道383号,23076.923076923074,5.25,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2732,金林大城小室,78.0,高,南向,2009,132.0,16923,2,1,18,府南新区,清江中路10号,16923.076923076922,13.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1857,金林大城小室,78.0,高,南向,2009,132.0,16923,2,1,18,府南新区,清江中路10号,16923.076923076922,13.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1925,中铁瑞景颐城,78.0,低,东向,2013,180.0,23076,3,2,21,万家湾,培风村10组成飞大道383号,23076.923076923074,5.25,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,中铁瑞景颐城,78.0,低,东向,2013,180.0,23076,3,2,21,万家湾,培风村10组成飞大道383号,23076.923076923074,5.25,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2122,中铁瑞景颐城,78.0,低,东向,2013,180.0,23076,3,2,21,万家湾,培风村10组成飞大道383号,23076.923076923074,5.25,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300,金沙鹭岛四期,78.0,高,西北向,2017,185.0,23717,2,1,32,内金沙,金沙鹭岛四期金阳路377号,23717.94871794872,24.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,金沙鹭岛四期,78.0,高,西北向,2017,185.0,23717,2,1,32,内金沙,金沙鹭岛四期金阳路377号,23717.94871794872,24.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1116,时光俊园,78.0,低,东向,2015,155.0,19871,2,2,21,万家湾,青羊区光华西三路30号,19871.79487179487,5.25,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3328,中大君悦金沙五期,78.0,低,东南向,2015,192.0,24615,2,1,18,内金沙,中大君悦金沙五期蜀辉路8号,24615.384615384617,4.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2707,金林大城小室,78.0,高,南向,2009,132.0,16923,2,1,18,府南新区,清江中路10号,16923.076923076922,13.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4698,中铁瑞景颐城,79.01,低,北向,2013,340.0,43032,3,2,21,万家湾,培风村10组成飞大道383号,43032.52752816099,5.25,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3075,金林大城小室,79.03,低,东向,2009,140.0,17714,2,1,18,府南新区,清江中路10号,17714.791851195747,4.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1191,金林大城小室,79.03,低,东向,2009,140.0,17714,2,1,18,府南新区,清江中路10号,17714.791851195747,4.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2987,海亮樾金沙,79.04,高,东南向,2016,182.0,23026,2,1,24,外金沙,蜀鑫路与清波路交汇处,23026.31578947368,18.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2301,东原时光道,79.06,低,北向,2020,159.0,20111,3,2,19,外光华,光华大道一段(大公园对面),20111.30786744245,4.75,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
728,人民中路一段5号院,79.08,中,南向,2015,226.0,28578,3,1,4,天府广场,人民中路一段5号,28578.654527061204,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3797,福华新起点,79.08,中,南向,2014,170.0,21497,2,1,17,天府广场,小南街128号,21497.21800708144,8.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
608,人民中路一段5号院,79.08,中,南向,2015,226.0,28578,3,1,4,天府广场,人民中路一段5号,28578.654527061204,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4373,二十一世纪花园二期,79.09,中,南向,2014,138.0,17448,2,1,4,贝森,苏坡东路27号,17448.476419269184,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1465,新城市广场,79.15,高,东南向,2003,178.0,22488,2,1,30,八宝街,西大街1号,22488.945041061274,22.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2441,金沙园二期,79.17,高,南向,2004,178.0,22483,2,2,11,内金沙,青羊大道209号,22483.263862574207,8.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,东立清水河畔,79.18,中,东南向,2014,122.0,15407,2,2,23,外金沙,金福南路55号,15407.931295781762,11.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
545,朗基龙堂,79.18,中,南北向,2014,185.0,23364,2,1,27,内光华,东坡北二路687号,23364.485981308408,13.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,东立清水河畔,79.18,中,东南向,2014,122.0,15407,2,2,23,外金沙,金福南路55号,15407.931295781762,11.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2768,朗基龙堂,79.18,中,南北向,2014,185.0,23364,2,1,27,内光华,东坡北二路687号,23364.485981308408,13.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
