,title,area,height,dic,year,cost,price,chamber,hall,layers,addr_district,addr_detail,price_cor
3495,北斗星花园公寓,160.0,中,南北向,2004,230.0,14375,3,2,21,草市街,北大街119号,14375.0
306,优品道二期,160.0,低,南向,2010,435.0,27187,3,2,24,贝森,优品道二期青羊大道99号,27187.5
3393,北斗星花园公寓,160.0,中,南北向,2004,230.0,14375,3,2,21,草市街,北大街119号,14375.0
761,瑞景光华,160.0,中,西向,2008,343.0,21437,4,2,12,内光华,瑞景光华瑞星路99号,21437.5
3868,二十一世纪花园二期,161.09,高,北向,2014,258.0,16015,4,2,7,贝森,苏坡东路27号,16015.891737538022
2045,金沙大境湾,161.34,低,南向,2013,420.0,26031,4,2,6,内金沙,金沙大境湾同怡路159号(金沙遗址公园旁),26031.98214949795
4611,金沙西园二期,161.36,高,东南向,2014,550.0,34085,3,2,6,内金沙,金阳路121号,34085.27516113039
1228,锦卉苑,161.3,中,南向,2000,218.2,13527,4,2,7,府南新区,锦翠南路2号,13527.588344699318
557,金林半岛,161.44,中,东南向,2006,758.0,46952,3,2,4,杜甫草堂,草堂路33号,46952.428146679886
1347,金林半岛,161.44,中,东南向,2006,758.0,46952,3,2,4,杜甫草堂,草堂路33号,46952.428146679886
3809,金沙西园三期,161.4,高,东北向,2020,550.0,34076,5,2,6,内金沙,金阳路112号,34076.82775712515
4272,金沙西园三期,161.4,高,东北向,2020,550.0,34076,5,2,6,内金沙,金阳路112号,34076.82775712515
2175,博瑞都市花园,161.67,中,南向,2004,450.0,27834,3,2,6,贝森,青羊大道101号,27834.477639636298
3326,金沙园三期,161.6,低,西北向,2006,350.0,21658,4,2,6,内金沙,金沙园三期金凤路9号(青羊区金沙菜市场旁),21658.41584158416
3483,金沙云庭,161.6,高,南向,2014,530.0,32797,4,2,13,内金沙,金沙云庭金阳路152号,32797.0297029703
4576,金沙云庭,161.6,高,南向,2014,530.0,32797,4,2,13,内金沙,金沙云庭金阳路152号,32797.0297029703
108,北斗星花园公寓,161.0,高,北向,2001,268.0,16645,4,1,21,草市街,北斗星花园公寓北大街119号,16645.962732919255
1417,凯德风尚,161.0,高,东向,2012,390.0,24223,4,2,19,万家湾,苏坡中路8号,24223.60248447205
4488,锦城华府,161.0,高,南北向,2012,338.0,20993,3,2,33,八宝街,宁夏街西城角巷4号(成都9中旁),20993.78881987578
2665,北斗星花园公寓,161.0,高,北向,2001,268.0,16645,4,1,21,草市街,北斗星花园公寓北大街119号,16645.962732919255
635,凯德风尚,161.0,高,东向,2012,390.0,24223,4,2,19,万家湾,苏坡中路8号,24223.60248447205
4182,景溪园,161.0,中,东向,2002,228.0,14161,3,2,9,石人小区,磨底河沿街2号,14161.490683229813
4028,景溪园,161.0,中,东向,2002,228.0,14161,3,2,9,石人小区,磨底河沿街2号,14161.490683229813
4237,锦城华府,161.0,高,南北向,2012,338.0,20993,3,2,33,八宝街,宁夏街西城角巷4号(成都9中旁),20993.78881987578
1880,天鹅星座,162.06,中,西向,2002,248.0,15302,3,2,11,府南新区,同友路99号,15302.974207083795
2684,博瑞都市花园,162.08,低,南向,2003,485.0,29923,3,2,9,贝森,青羊大道101号,29923.49457058243
803,聚星城公寓,162.52,中,南向,2015,480.0,29534,4,1,12,长顺街,中同仁路8号,29534.82648289441
4114,锦里苑,162.5,高,南向,2003,374.0,23015,4,3,1,杜甫草堂,草堂东路1号,23015.384615384617
2132,金沙大境湾,162.68,中,南向,2013,412.0,25325,4,2,5,内金沙,金沙大境湾同怡路159号(金沙遗址公园旁),25325.792967789526
1945,金沙大境湾,162.68,中,南向,2013,412.0,25325,4,2,5,内金沙,金沙大境湾同怡路159号(金沙遗址公园旁),25325.792967789526
